origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final,parametro
2,2021-07-26,magnitud,5,regresion agrupada (L1),,0.9305784106254578,0.9034889936447144,0.9858084321022034,0.9859156608581543,0.002528669371594842,274,120750,6850,,,,,
2,2021-07-26,magnitud,10,volatilidad reciente,,0.9394959807395935,0.9115802645683289,1.0,1.0,0.0,274,120476,6576,,,,,
2,2021-07-26,magnitud,10,mediana de la ventana,,0.9204334616661072,0.8982914686203003,0.9805681109428406,0.9845807552337646,0.002954913484946523,274,120476,6576,,,,,
2,2021-07-26,magnitud,10,media reescalada (c global),,0.9204849600791931,0.8960553407669067,0.9811723232269287,0.9798053503036499,0.0035521254244026967,274,120476,6576,,,,,0.7258
2,2021-07-26,magnitud,10,media reescalada (c por serie),,0.921032726764679,0.8988779783248901,0.9818981885910034,0.980349063873291,0.0036828882041189974,274,120476,6576,,,,,
2,2021-07-26,magnitud,10,EWMA RiskMetrics,,0.9238871335983276,0.8944977521896362,0.9846672415733337,0.9872843027114868,0.003143399888026558,274,120476,6576,,,,,0.7358
2,2021-07-26,magnitud,10,EWMA ajustado,,0.9238871335983276,0.8944977521896362,0.9846672415733337,0.9872843027114868,0.003143399888026558,274,120476,6576,,,,,0.94
2,2021-07-26,magnitud,10,HAR,,0.9286309480667114,0.9046963453292847,0.9904022216796875,0.9907813668251038,0.0025189065717027654,274,120476,6576,,,,,
2,2021-07-26,magnitud,10,"GARCH(1,1) agrupado",,0.9231635332107544,0.8960251808166504,0.9829429984092712,0.9822648167610168,0.003507645270897172,274,120476,6576,,,,,0.5205
2,2021-07-26,magnitud,10,regresion agrupada (L2),,0.9640714526176453,0.9380345344543457,1.0287693738937378,1.0282104015350342,0.0035528496450124873,274,120476,6576,,,,,
2,2021-07-26,magnitud,10,regresion agrupada (L1),,0.9285811185836792,0.9052691459655762,0.9898109436035156,0.9904569387435913,0.0022466705141220827,274,120476,6576,,,,,
2,2021-07-26,magnitud,20,volatilidad reciente,,0.9301592707633972,0.8971491456031799,1.0,1.0,0.0,274,120202,6028,,,,,
2,2021-07-26,magnitud,20,mediana de la ventana,,0.9135167002677917,0.8829324841499329,0.9830682873725891,0.9863870143890381,0.0030963775356371947,274,120202,6028,,,,,
2,2021-07-26,magnitud,20,media reescalada (c global),,0.9159409999847412,0.8878392577171326,0.9863682389259338,0.9854159355163574,0.003882525534102043,274,120202,6028,,,,,0.7176
2,2021-07-26,magnitud,20,media reescalada (c por serie),,0.9165245294570923,0.89136803150177,0.9871341586112976,0.9868119955062866,0.004031137493676353,274,120202,6028,,,,,
2,2021-07-26,magnitud,20,EWMA RiskMetrics,,0.9200656414031982,0.8919915556907654,0.9907523989677429,0.9920423030853271,0.0034195689721382215,274,120202,6028,,,,,0.7223
2,2021-07-26,magnitud,20,EWMA ajustado,,0.9184994697570801,0.8902983665466309,0.9890782833099365,0.9907228946685791,0.003440769641530413,274,120202,6028,,,,,0.95
2,2021-07-26,magnitud,20,HAR,,0.9241769909858704,0.8943301439285278,0.9961632490158081,0.9970805644989014,0.0027833686229055783,274,120202,6028,,,,,
2,2021-07-26,magnitud,20,"GARCH(1,1) agrupado",,0.9156237840652466,0.8884098529815674,0.9847660660743713,0.9862314462661743,0.0034645701233788815,274,120202,6028,,,,,0.5066
2,2021-07-26,magnitud,20,regresion agrupada (L2),,0.9535170793533325,0.928744375705719,1.0285415649414062,1.0268423557281494,0.003617235962954482,274,120202,6028,,,,,
2,2021-07-26,magnitud,20,regresion agrupada (L1),,0.9246309995651245,0.8978874683380127,0.9960318207740784,0.9964964389801025,0.0023456454553516092,274,120202,6028,,,,,
3,2022-01-24,magnitud,1,volatilidad reciente,,1.424569845199585,1.3838355541229248,1.0,1.0,0.0,274,127874,6576,,,,,
3,2022-01-24,magnitud,1,mediana de la ventana,,1.4338706731796265,1.3823661804199219,1.0056157112121582,1.0054206848144531,0.005962190505542867,274,127874,6576,,,,,
3,2022-01-24,magnitud,1,media reescalada (c global),,1.4473459720611572,1.4074068069458008,1.0159021615982056,1.0110793113708496,0.007167892691366038,274,127874,6576,,,,,0.7424
3,2022-01-24,magnitud,1,media reescalada (c por serie),,1.4489166736602783,1.4107756614685059,1.0172078609466553,1.0098905563354492,0.0074187732430786016,274,127874,6576,,,,,
3,2022-01-24,magnitud,1,EWMA RiskMetrics,,1.4282660484313965,1.3752857446670532,1.0023119449615479,1.0001544952392578,0.006988524536336427,274,127874,6576,,,,,0.7515
3,2022-01-24,magnitud,1,EWMA ajustado,,1.4279441833496094,1.3752728700637817,1.0021859407424927,1.0002195835113525,0.0071767156698577155,274,127874,6576,,,,,0.93
3,2022-01-24,magnitud,1,HAR,,1.4534226655960083,1.4166580438613892,1.0196353197097778,1.0173981189727783,0.00924239179584691,274,127874,6576,,,,,
3,2022-01-24,magnitud,1,"GARCH(1,1) agrupado",,1.4737204313278198,1.4368551969528198,1.0340206623077393,1.0211018323898315,0.010438253313434006,274,127874,6576,,,,,0.5443
3,2022-01-24,magnitud,1,regresion agrupada (L2),,1.4450784921646118,1.4007213115692139,1.0168507099151611,1.0222017765045166,0.008159569907807813,274,127874,6576,,,,,
3,2022-01-24,magnitud,1,regresion agrupada (L1),,1.4612075090408325,1.4235732555389404,1.0261527299880981,1.0194752216339111,0.0092155051619717,274,127874,6576,,,,,
3,2022-01-24,magnitud,5,volatilidad reciente,,1.3143044710159302,1.2950897216796875,1.0,1.0,0.0,274,127600,6576,,,,,
