origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final
2,2021-07-26,nivel,5,regresion agrupada,,1.0305757522583008,1.003793716430664,1.017745852470398,1.0161798000335693,0.003206946893008046,272,119864,6800,,,,
2,2021-07-26,nivel,5,LSTM,0.0,1.0116875171661377,0.9884821176528931,0.9993443489074707,0.9973486661911011,0.0013506044995491363,272,119864,6800,9.0,2.0,0.03395662896994398,0.08806222837680439
2,2021-07-26,nivel,5,LSTM,1.0,1.0087372064590454,0.9837753176689148,0.996294379234314,0.9965829849243164,0.001190940190112744,272,119864,6800,7.0,0.0,0.03590204273022886,0.08468087065194461
2,2021-07-26,nivel,10,cero,,1.0111223459243774,0.9872289896011353,1.0,1.0,0.0,272,119592,6528,,,,
2,2021-07-26,nivel,10,deriva,,1.0196665525436401,0.9918886423110962,1.008286476135254,1.0078773498535156,0.001324754579100666,272,119592,6528,,,,
2,2021-07-26,nivel,10,ingenua,,1.3561937808990479,1.3161094188690186,1.3422294855117798,1.3267511129379272,0.013991624100846773,272,119592,6528,,,,
2,2021-07-26,nivel,10,regresion agrupada,,1.0271375179290771,0.9970183372497559,1.0153319835662842,1.016526460647583,0.0028008042025332233,272,119592,6528,,,,
2,2021-07-26,nivel,10,LSTM,0.0,1.0072441101074219,0.9817060232162476,0.9958944916725159,0.995616614818573,0.0008319230104056512,272,119592,6528,7.0,0.0,0.026736085191687457,0.06691950821500812
2,2021-07-26,nivel,10,LSTM,1.0,1.0078859329223633,0.9828016757965088,0.9965111017227173,0.9957823753356934,0.0010236506606774924,272,119592,6528,8.0,1.0,0.02658772587768224,0.07996153220152244
2,2021-07-26,nivel,20,cero,,1.0127207040786743,0.986362874507904,1.0,1.0,0.0,272,119320,5984,,,,
2,2021-07-26,nivel,20,deriva,,1.0207804441452026,0.9938337206840515,1.0078104734420776,1.0067522525787354,0.0013756342537017403,272,119320,5984,,,,
2,2021-07-26,nivel,20,ingenua,,1.384608268737793,1.3431668281555176,1.3686025142669678,1.3455089330673218,0.014672206269973,272,119320,5984,,,,
2,2021-07-26,nivel,20,regresion agrupada,,1.0245847702026367,0.9958170652389526,1.01138436794281,1.0113935470581055,0.0025829530359919623,272,119320,5984,,,,
2,2021-07-26,nivel,20,LSTM,0.0,1.0104652643203735,0.9812315702438354,0.9974937438964844,0.9971292018890381,0.0008560934647424882,272,119320,5984,8.0,1.0,0.019997688532832857,0.04067018113200746
2,2021-07-26,nivel,20,LSTM,1.0,1.0096697807312012,0.9803316593170166,0.9967436194419861,0.9964263439178467,0.0008283877796987921,272,119320,5984,7.0,0.0,0.019671588013351473,0.04911487321399264
2,2021-07-26,magnitud,1,volatilidad reciente,,0.955014169216156,0.9300431609153748,1.0,1.0,0.0,272,120136,6800,,,,
2,2021-07-26,magnitud,1,persistencia,,1.2048206329345703,1.1596516370773315,1.2888689041137695,1.2341828346252441,0.030049467332911216,272,120136,6800,,,,
2,2021-07-26,magnitud,1,regresion agrupada,,0.9541511535644531,0.902930736541748,1.0060752630233765,0.9981931447982788,0.008494520377166435,272,120136,6800,,,,
2,2021-07-26,magnitud,1,LSTM,0.0,0.910925567150116,0.881255030632019,0.9533839225769043,0.9564915299415588,0.00818463891752205,272,120136,6800,11.0,4.0,0.1968693601958295,0.21036268774657807
2,2021-07-26,magnitud,1,LSTM,1.0,0.9126254320144653,0.8864619731903076,0.9539221525192261,0.9526053667068481,0.009195053978014308,272,120136,6800,17.0,10.0,0.16243370180711783,0.20781840474364605
2,2021-07-26,magnitud,5,volatilidad reciente,,0.9457989931106567,0.9193766117095947,1.0,1.0,0.0,272,119864,6800,,,,
2,2021-07-26,magnitud,5,persistencia,,1.2245928049087524,1.192435383796692,1.2991114854812622,1.2855995893478394,0.018383383992851707,272,119864,6800,,,,
2,2021-07-26,magnitud,5,regresion agrupada,,0.9727034568786621,0.944675862789154,1.0307971239089966,1.0290271043777466,0.003825094778142192,272,119864,6800,,,,
2,2021-07-26,magnitud,5,LSTM,0.0,0.9232258796691895,0.8975861668586731,0.9766556024551392,0.9763572216033936,0.003328015726090238,272,119864,6800,20.0,13.0,0.10246599140737865,0.1387087612279824
2,2021-07-26,magnitud,5,LSTM,1.0,0.9200548529624939,0.8934180736541748,0.973363995552063,0.9720296859741211,0.0029277465647234886,272,119864,6800,10.0,3.0,0.11179533380387562,0.1327194943388642
2,2021-07-26,magnitud,10,volatilidad reciente,,0.9401450157165527,0.9127371907234192,1.0,1.0,0.0,272,119592,6528,,,,
2,2021-07-26,magnitud,10,persistencia,,1.2265833616256714,1.1868089437484741,1.3088868856430054,1.27944016456604,0.01816046320021724,272,119592,6528,,,,
2,2021-07-26,magnitud,10,regresion agrupada,,0.9648824334144592,0.9394954442977905,1.0289700031280518,1.0280988216400146,0.003553551067023975,272,119592,6528,,,,
2,2021-07-26,magnitud,10,LSTM,0.0,0.918432354927063,0.8919903039932251,0.9771896600723267,0.9746021628379822,0.0033376740820927034,272,119592,6528,9.0,2.0,0.09917450422405177,0.1113566962731445
2,2021-07-26,magnitud,10,LSTM,1.0,0.9173398613929749,0.8854988813400269,0.9761580228805542,0.9741981029510498,0.0028942259096772557,272,119592,6528,8.0,1.0,0.08427182227994005,0.12942627253822792
2,2021-07-26,magnitud,20,volatilidad reciente,,0.9306855797767639,0.900208055973053,1.0,1.0,0.0,272,119320,5984,,,,
2,2021-07-26,magnitud,20,persistencia,,1.2160462141036987,1.1819026470184326,1.3104788064956665,1.2831707000732422,0.017995540881682755,272,119320,5984,,,,
2,2021-07-26,magnitud,20,regresion agrupada,,0.9541258215904236,0.9311246871948242,1.0286555290222168,1.027071475982666,0.0036368491076258875,272,119320,5984,,,,
2,2021-07-26,magnitud,20,LSTM,0.0,0.9115925431251526,0.884404182434082,0.9799504280090332,0.9807144403457642,0.00323026166159156,272,119320,5984,13.0,6.0,0.07474620590820047,0.08036102384440522
2,2021-07-26,magnitud,20,LSTM,1.0,0.9098799824714661,0.8825159072875977,0.9780780673027039,0.9787291288375854,0.0031528145622074467,272,119320,5984,36.0,29.0,0.08980755986171182,0.09018096496496644
